SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
William Watson;19 Dec;1857;KO ; ;Thomas Kay; ; ;watson;Lindrick Common, near Anston;Yorkshire;England;ND;(London) Daily News, December 25, 1847. The men decided to settle an argument about a dog fight with a prizefight. After about an hour, Kay was knocked out. He was left where he lay. Sometime later, he was found, still unconscious, where he fell. He was carried inside. He died next morning. Manslaughter charges were filed. ; ;Pro;Brain injury;Ring; ;;
James Morris (Brighton Pet);20-May;1858;KO;;Philip Redwood;26; ;redwood;Gravesend Marsh;Kent;England;ND;"London Times, May 28, 1858; London Times, May 29, 1858; Manchester (England) Guardian, May 29, 1858; London Times, July 29, 1858; London Review, August 7, 1858, cited in Brooklyn Daily Eagle, September 11, 1858. The planned main event did not occur, so other boxers fought. This was the second event of the day. The bout lasted about an hour. Redwood finally collapsed. He as carried unconscious from the field, and he died about the same evening. Cause of death was an effusion of blood upon the brain. The defense said the injuries were caused during the transportation rather than the fight, but the jury ruled guilty and Morris was convicted of manslaughter and sentenced to sixty days' imprisonment."; ;Pro;Brain injury;Ring;Blows: Manslaughter; ;
Arnold;22-May;1858;Draw; ;William Higginstone (Eggerstone);33; ;higginstone;Brompton Fields;London;England;ND;"(London, England) Lloyd's Weekly Newspaper, June 1, 1858; (Bangor, Wales) North Wales Chronicle, June 5, 1858;  (London) West Middlesex Advertiser and Family Journal, June 5, 1838; (London, England) Lloyd's Weekly Newspaper, June 6, 1858. HIgginstone died several days later; cause of death was attributed to internal injuries associated with chronic alcoholism. Arnold's sister acted as bottle-holder."; ;Pro;Internal injuries;Ring;Misadventure;;
Donald McKay;5-Jul;1858;WF;6;Thomas Henry Paynter; ; ;paynter;Collingwood;Victoria;Australia;ND;(Melbourne, Australia) Argus, July 22, 1858. The men quarrelled, and decided to settle matters with a prize fight.  There were perhaps half a dozen rounds, and lasted about half an hour. McKay struck a foul blow, and the fight was stopped. Paynter died a few minutes later. Cause of death was attributed to the effects of a blow to the stomach.;;Pro;;Ring;;;
William Houston;23-Sep;1858;KO;5;George Mercer; ; ;mercer;New Haven;Connecticut;USA;ND;New York Times, September 25, 1858. Both boxers were said to be English. Mercer won the first two rounds, while Houston won the last three. Finally, Mercer was knocked down, and did not get back up. Cause of death given as congestion of the brain.; ;Pro;Brain injury;Ring;;;
James Reynolds;11-Nov;1858;KO;5;Thomas Boland; ; ;boland;Maitland;South Australia;Australia;ND;(Queensland) Moreton Bay Courier, November 17, 1858. The fight was a grudge match, fought over a saddle. There were seconds. London Prize Rules were followed. The fight was fairly even until the fifth round. Then Boland was knocked down. His seconds picked him up, but he collapsed. The surgeon attributed death to a series of blows to the head. The jury found manslaughter.; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
Samuel Asquith (Gosway);28-Nov;1858;KO; ;George Donald McDonald;17; ;mcdonald;Abbey Wood;London;England;ND;"(London) Morning Chronicle, December 1, 1858; Old Bailey Online, SAMUEL ASQUITH, Killing > manslaughter, 13th December 1858, t18581213-153; JOHN HARRINGTON, HENRY GEORGE, Killing > manslaughter, 3rd January 1859, t18590103-206. The fight took place on a Sunday morning, to attract working men. The purse was five shillings a side. The venue was a field about a mile from the railway station. The youths (Asquith was aged 16 years) fought for about half an hour. Finally, Asquith threw McDonald using a hip throw, and McDonald struck his head. He did not get up. A fence was torn down to make a litter, and McDonald was carried to the Harrow public house. The doctor came to see him there, and advised transporting him to hospital. He died at three in the morning, next day. Autopsy revealed cause of death was crushing of the spinal cord, caused by dislocation of bones at the back of the neck. The jury returned a verdict of manslaughter, and the judge sentenced Asquith to three months. The seconds had a separate trial, and were also convicted and sentenced."; ;Pro;Neck fracture;Ring;Blows: Manslaughter;;
Patrick Tannan;1-Dec;1859;KO; ;Patrick Honeyman; ; ;honeyman;New York;New York;USA;ND;New York Times, February 9, 1860. Tannan was charged with fourth-degree manslaughter.; ;Pro; ;Ring;;;
George Henry Tyler;30-Apr;1860;KO; ;Thomas Miller; ; ;miller;Brompton;London;England;ND;Dawsons Fort Wayne Daily Times (Fort Wayne, Indiana), June 6, 1860.; ;Pro; ;Ring; ;;
Reid (or Reddie);2-Jul;1860;KO;50;John McLachlan; ; ;mclachlan;Erskine Ferry;Renfrewshire;England;ND;"Derby (England) Mercury, July 4, 1860; Glasgow (Scotland) Herald, September 3, 1860. The fight lasted about one hour, 20 minutes, and it had between 40 and 50 rounds. Reid was unconscious at the end, and he died soon after. Cause of death was attributed to effusion of blood on the brain. The seconds were arrested; McLachlan fled."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
William Williams;12-Aug;1860;KO; ;George Mitchell;32; ;mitchell;Battersea Fields ;London;England;ND;"(London, England) Morning Chronicle, August 17, 1860; London (England) Morning Chronicle, August 17, 1860; Proceedings of the Old Bailey, William Williams, William Davis, Henry Walker, Killing > manslaughter, 17th September 1860,  t18600917-831. The fight was two pounds, in silver. It took place early Sunday morning, and lasted about half an hour. There were twenty to thirty in the crowd. Mitchell was knocked down several times during the fight. Following the knockout, he lay insensible for about a quarter hour. When he finally got up, a friend from work helped him to his house, but he could barely stand. He laid down in his bed, and he died next afternoon. The surgeon who treated him said that when he first saw him, the pupils of both eyes were contracted, and insensible to light. On autopsy, it ws found that there was at least an ounce of extravasagated blood on the left side of the head, with a ruptured vessel at the back of the head. The jury ruled guilty, with recommendation for mercy, and Williams was confined for three weeks."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
ND;Nov/;1860;KO; ;George Howard; ; ;howard;Hampton;New Brunswick;Canada;ND;San Francisco (California) Daily Evening Bulletin, December 22, 1860. Howard, a black boxer, was glove fighting another man. Howard was winning, so the opponent took off his gloves and began fighting bare-knuckle. Howard was hit hard in the head, and died at the scene.; ;Pro;Brain injury;Ring; ;;
James Wallis;16-Dec;1860;KO;;Alfred Tabraham;19; ;tabraham;Gravesend Marsh;Essex;England;ND;"(London, England) Morning Chronicle, January 31, 1861; (London, England) Morning Chronicle, February 9, 1861; London Times, February 28, 1861, Proceedings of the Old Bailey, James Wallis, Charles Impey, John Cupis, Henry Neighbours, Killing > Mansalughter, 25th February, 1861, t18610225-243. The fight took place on a Sunday morning. There were many rounds and many falls, and toward the end, as much clinching as boxing. Following the knockout, Tabenham was taken to a nearby blacksmith's shop, where he was washed. After that, he was transported to a relative's house. A doctor arrived mid-afternoon, and Tabenham died that evening. Autopsy revealed cause of death to be extravasation of blood on the left side of the brain, but medical opinion was split on whether the cause was a blow or the fall. Verdict was not guilty."; ;Pro;Brain injury;Ring;Fall: Misadventure;;
Tom Holland;20-May;1861;KO;60;Thomas Thorpe;19; ;thorpe;Sheffield;South Yorkshire;England;ND;"Leeds (England) Mercury, May 21, 1861. The two men fought for twenty shillings (œ1)  a side; that sum would be worth about œ100 today. Thorpe was knocked out by a blow to the right ear, and soon died. Holland was arrested."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
Thomas Pugh;14-Oct;1861;KO;39;David Richards (Matthews); ; ;richards;Cefn Mawr;Wrexham;Wales;ND;"(London, England) Morning Chronicle, October 22, 1861; (Bangor, Wales) North Wales Chronicle, October 26, 1861. The prize was œ2 per side. The crowd was estimated at three hundred. The men fought about an hour. Toward the end, Richards was clearly exhausted, but would not stop. He was struck in the face, and fell. He got up, rested on his second's knee. At the command, ""Time,"" he rose, and then collapsed, blood gushing from his nose and mouth. He died about half an hour later. Cause of death was attributed to a blow to the right ear causing a fracture of the temporal bone. The jury ruled manslaughter."; ;Pro;Skull fracture;Ring;Blows: Manslaughter;;
Mike Fagin;May/;1862;KO;35;Andrew Love;17; ;love;Illinoistown;Missouri;USA;ND;"Chicago Tribune, June 4, 1862; Davenport (Iowa) Daily Gazette, June 5, 1862; Whitewater (Wisconsin) Register, June 20, 1862. Love's injuries included two broken ribs. He died the following day. See also Recollections of Corporal Marcus S. Pratt, Company G, 12th Wisconsin Infantry, http://www.russscott.com/~rscott/12thwis/marcprat.htm -- the Union general Francis P. Blair reportedly refused to move his 8,000 men to take part in an ongoing battle until thiis fight ended."; ;Pro;;Ring;; ;
ND;29-Jul;1862;KO; ;William Morse; ; ;morse;Poplar;London;England;ND;"Leeds (England) Mercury, August 2, 1862; (London, England) Penny Illustrated Paper, August 9, 1862. The two men went to a field near Westferry Road. They fought, and Morse was knocked out. His seconds called for a doctor. By the time the doctor arrived, he was dead. Arrests were made."; ;Pro; ;Ring; ;;
William Morris;17-Aug;1862;KO;5;Thomas Granger;31; ;granger;Hereford (Bartonsham meadows);Hertfordshire;England;Feather (between 9 and 10 stone);Hereford (England) Journal, August 22, 1862. Granger was knocked backwards in the final round. Members of the crowd said he was not knocked out, just sick.He was transported off the field in a wheelbarrow, thrown on the floor, and left to recover.He died. Cause of death was concussion and bleeding of the brain.The coroner's jury ruled manslaughter.; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
James Gillon;21-Mar;1863;KO; ;John Fisher;30; ;fisher;Little Usworth Colliery (near Washington);Tyne and Wear;England;ND;"Newcastle (England) Journal, March 22, 1863; Newcastle (upon-Tyne, England) Courant etc., March 27, 1863; Newcastle (upon-Tyne, England, Courant etc., July 31, 1863. The two men fought about one hour, 45 minutes. Finally, Fisher was knocked down, and his seconds threw in the sponge. Fisher died that night. Cause of death was attributed to concussion of the brain, occasioned either by blows or the fall. Gillon and the seconds were convicted of manslauther. "; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
ND;26. Mrz;1863;Training;;"Thomas ""Shocker"" Shipp";35;Y;shipp;Greewich;London;England;Welter;Bristol (England) Mercury, March 28, 1863. Shipp was training for a fight with Patsy Reardon, scheduled for April 7. Cause of death was listed as apoplexy.; ;Pro;Apoplexy;Ring;;;
Samuel Howlett;6-Apr;1863;KO;;Samuel Rivett;23;Y;rivett;Hackney;London;England;ND;"(London, England) Daily News, April 9, 1863; (London, England) Daily News, April 11, 1863; (London, England), Daily News, May 18, 1863; (London, England) Penny Illustrated Paper, May 23, 1863; Old Bailey Online, SAMUEL HOWLETT, WILLIAM HAMMOND, JAMES WILLIAM HAMMOND, JAMES LEWIS, Killing > manslaughter, 11th May 1863, t18630511-738a. The prize was six shillings. The venue was a field near White Posts Lane. The time was early morning. There were perhaps a hundred persons present. The fight lasted about 45 minutes. There was no rope; the spectators formed the ring. Throughout the fight, Rivett was seen to intentionally fall, rather than take a blow, and during the last three rounds, Rivett was pushed to his mark by his seconds. After the final fall, he was left lying in the wet grass for about 20 minutes before being carried to a nearby public house. By the time the doctor arrived, Rivett was dead. Cause of death was effusion of blood on both sides of the brain, and also in the lungs, almost certainly caused by violence. Howett and three others were convicted of manslaughter, with lenience recommended because the fight was arranged by the deceased. Sentence was two months' imprisonment."; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
John Lee;15-Jun;1863;KO; ;William Nicholls; ; ;nicholls;Palsey Lane;London;England;ND;Old Bailey Online, JOHN LEE, CHARLES CHILCOT, ROBERT YOUNG, Killing > manslaughter, 13th July 1863, t18630713-948. The fight lasted about three quarters of an hour. The onlookers included Lee's mother, who seconded him. During the fight, both men were clearly tired, and sometimes fell without being struck, but Lee (the deceased) kept saying that he would fight until he got a cut. The autopsy ruled cause of death was a ruptured blood vessel on the brain. The surgeon was not ready to testify whether the cause of the rupture was a blow or excitement. About a year earleir, Lee had been knocked out in a similar fight. The jury ruled not guilty.; ;Pro;Brain injury;Ring;Blows: Misadventure;;
Pelham;20-Jun;1863;KO; ;Osborne; ; ;osborne;Pimlico;London;England;ND;(Dublin, Ireland) Freeman's Journal and Daily Commercial Advertiser, June 23, 1863. Osborne died at the scene of the fight.; ;Pro; ;Ring; ;;
Jem Dillon;11-Aug;1863;KO; ;Bob Travers;31; ;travers;Wargrave;Berkshire;England;Light;"(Edinburgh, Scotland) Caledonian Mercury, August 15, 1863; Hobart (Tasmania) Mercury, October 27, 1863; ""Black Dynamite Bob Travers 'The Black Wonder,"" http://cyberboxingzone.com/boxing/travers-b.htm. The prize was said to be 400 pounds. There were two bouts involved. After about 38 rounds, police intervened at the first fight, which took place at Twyford. The fighters were told to meet at Wargrave Ferry the following day. They did, and Travers subsequently died of injuries."; ;Pro; ;Ring; ;;
Thomas Cutter;25-Jul;1863;KO; ;Patrick McGlennon; ; ;mcglennon;Little Usworth Colliery (near Washington);Tyne and Wear;England;ND;Newcastle (England) Guardian and Tyne Mercury, July 31, 1863. McGlennon was carried home unconscious, and he died two days later. Cutter was arrested.; ;Pro;Brain injury;Ring;;;
James Stevens;14-Aug;1863;KO; ;John Mears; ; ;mears;Teignbridge;Devon;England;ND;"Bristol (England) Mercury, December 12, 1863. Stevens, a well-known pugilist about age 50, was described as ""a man of colour,"" and he operated a boxing booth set up at the race course. Mears and Stevens sparred, and afterwards, they agreed to a fight without gloves, outside of town. During this fight, Mears was struck under the ear, and he died. His body was found on August 21. There was only one witness, a boy, and Stevens had men to give him an alibi, so the jury moved to dismiss."; ;Pro; ;Ring;Blows: Manslaughter;;
John Kidd;11-Oct;1863;KO; ;James Burgess;17; ;burgess;Manchester ;Manchester;England;ND;"Sheffield (England) Independent, October 13, 1863; (Manchester, England) Bury Times, October 16, 1863.  The fight took place on a Sunday afternoon. Burgess borrowed the money for his stake. About four hundred spectators were present. After about half an hour, Burgess was knocked out by a blow to the abdomen. Burgess was carried by boat toward town, but died on the way. The surgeon said that death was due to injuries to the head."; ;Pro;Brain injury;Ring;;;
William Horner;23-Oct;1864;KO;6;Thomas Dawes; ; ;dawes;Sheffield;South Yorkshire;England;ND;"(London, England) Daily News, October 25, 1864; Newcastle (England) Journal, November 3, 1864; Sussex (England) Advertiser, November 11, 1864. The fight took place at Old Park Wood. The men had the second fight of the night, and they fought for about twenty minutes. Dawes was hit hard on the neck, and went down. He rested, stood up, and then collapsed without being struck. Horne and most of the onlookers promptly fled. Horner was subsequently arrested, and charged with manslaughter."; ;Pro; ;Ring;Blows;;
Harding;Jun/;1865;ND;  ;Joseph Sullivan (Sailor Jack); ; ;sullivan;South Crescent Mews;London;England;ND;"(London, England) Pall Mall Gazette, June 20, 1865; (London, England) Reynolds's Newspaper, July 2, 1865. On June 10, 1865, Sullivan decided to see the doctor, because his face was still swollen following a prize fight the weak before. The coroner's jury attributed the fatal staph infection to Sullivan's falling down while drunk rather than the inch long gash on his face, and the case was dismissed."; ;Pro;Erysipelas;Soon after;Misadventure;;
ND;27-Sep;1865;ND; ;Jabez George; ; ;george;Henley-on-Thames;Oxfordshire;England;ND;Reading (England) Mercury, October 6, 1865. George was sparring (e.g., boxing with gloves) with a fellow farm laborer at a fairground boxing booth. Suddenly, without being struck, he collapsed. He was carried unconscious to his brother's house, where he died soon after. Cause of death was cardiac, and attributed to over-excitement.; ;Pro;Cardiac;Ring;Over-exertion;;
John Young;9-Oct;1866;KO;6;Edward Wilmot ;22;Y;wilmot;Westminster (Carlton Gardens);London;England;ND;"(London) Lloyd's Weekly Newspaper, October 14, 1866; North Devon (England) Journal, October 18, 1866; (London) Daily News, October 19, 1866; (London) Lloyd's Weekly Newspaper, October 21, 1866; (London) Penny Illustrated Paper, October 20, 1866; London Times, October 30, 1866; London Times, November 3, 1866; Edward W. Cox, Reports of Cases in Criminal Law... volume X, 1864-1867 (London: Law Times Office, 1868), 371-373; Charles Dickens, All the Year Round, Vol. 20 (London: Chapman and Hall, 1868), 379; Montagu Stephen Williams, Leaves of A Life; Being the Reminiscences of Montagu Williams, Q.C. (London: Macmillan and Co., 1890), 220-223; Jack Anderson, ""Pugilistic prosecutions: Prize fighting and the courts in nineteenth century Britain,"" The Sports Historian, November 2001,  http://www.umist.ac.uk/sport/SPORTS%20HISTORY/BSSH/The%20Sports%20Historian/TSH%2021-2/Art3-Anderson.htm; Old Bailey Online, JOHN YOUNG, WILLIAM SHAW, DANIEL MORRIS, EDWARD DONELLY, GEORGE FLYNN, THOMAS DAW, JAMES GOOD, Killing > manslaughter, 19th November 1866, t18661119-44. The fight was with gloves. The venue was William Shaw's Queen's Head Tavern, in Windmill-street, Haymarket. Because prizefighting was illegal, the match was advertised as a ""protracted sparring match."" The bout took place in an upstairs room that was used, alternately, for boxing, rat killing, and cock fighting. About one hundred people were present, and admission was by ticket costing 6 pence. There was a referee and a time-keeper. The publican, Shaw, was in and out of the room all night with drinks. The men  fought for about an hour. In the end, Wilmot either fell or was knocked down. As he fell, he may have struck his head against a post that was in the center of the ring. After getting up, he said did not feel well, and Shaw stopped the fight, saying, ""Now, gents, it's all over."" Wilmot was taken to the hospital, where he died several hours after admission. Cause of death was a rupture of an artery on the right side of the brain. The subsequent court case, R. v. Young, (1866) 10 Cox 371, established the legal precedent that death ""caused by an injury received in a friendly sparring match, which is not a thing likely to cause death... is not manslaughter, unless the parties fight on until the sport becomes dangerous."" (Henry Roscoe, Roscoe's Digest of the Law of Evidence in Criminal Cases, Eighth American Edition, volume II,  Philadelphia, 1888, p. 912.) Another important distinction of this fight is that it took place in private rooms, and so did not cause a public nuisance.  There had been cases of fence-breaking and illegal timber removal in earlier outdoor prizefights, and after 1860, most British railway companies refused to hire special trains for prizefight excursions. Indeed, the practice of hiring special prizefight trains was specifically prohibited by the Regulation of Railways Act of 1868: ""Any railway company that shall knowingly let for hire any special train for the purpose of conveying parties to be present at any prize fight... shall be liable to a penalty ... of such sum not exceeding five hundred pounds, and not less than two hundred pounds."" Henry Godefroi and John Shortt, The Law of Railway Companies, Comprising the Companies Clauses (London: Stevens and Haynes, 1869), 526."; ;Pro;Brain injury;Ring;Fall: Misadventure; ;
ND;31-Dec;1866;KO; ;Darby; ; ;darby;Wellington;;New Zealand;ND;(Wellington) New Zealand, January 8, 1867. Darby was a former drill sergeant of the Canterbury Yeomanry Cavalry, and landlord of the Criterion Hotel. He was sparring at Cocker's Music Hall on New Year's Eve. He was struck in the head, and died of concussion of the brain. ; ;Pro;Brain injury;Ring;Misadventure;;
Dennis Reardon;19-Jan;1868;KO;;Thomas McCann;17;;mccann;Belleville;Illinois;USA;Light;"New York Times, January 21, 1868; Chicago Tribune, January 22, 1868; Davenport (Iowa) Daily Gazette, February 5, 1868; St. Joseph (Michigan) Herald, February 15, 1868. The fight took place at Bloody Island, a sandbar in the Mississippi River near St. Louis, on the Illinois side. Seven people were arrested after the death, and Reardon was sentenced to one month in the county jail. Cause of death was attributed to over-excitement rather than blows."; ;Pro; ;Ring;Manslaughter: Over-excitement;;
Thomas Beynon;30-Mar;1868;KO;76;Jonathan Muzzy; ; ;muzzy;Merthyr Tydfil;Glamorgan (Merthyr Tydfil);Wales;ND;"Birmingham (England) Daily Post, April 1, 1868; Glasgow (Scotland) Herald, April 4, 1868. The two men fought for two hours. In the final round, Muzzy was knocked down. He reportedly struck his head as he fell, and he died a few hours later. Cause of death was said to be a broken neck. Muzzy and the seconds were arrested."; ;Pro;Neck fracture;Ring;;;
Barney Duffy;26-Jun;1868;KO;185;Jack; ;;jack;Albuquerque;New Mexico;USA;ND;"Fort Wayne (Indiana) Daily Gazette, July 30, 1868; Dubuque (Iowa) Daily Herald, September 19, 1868; both citing the Denver News. The fight took 6 hours, 19 minutes. Duffy's left eye was closed, two ribs were broken, and his left arm was broken. Jack, who had lost three teeth and had a broken nose, was essentially blind for the last two rounds, and he died ten minutes after the fight. The report said it was the best fight ever witnessed."; ;Pro;;Ring;; ;
Edmund Smith;11-Nov;1868;KO;14;Joseph Patrick Fitzsimmons; ; ;fitzsimmons;Sydney;New South Wales;Australia;ND;Sydney (Australia) Morning Herald, February 27, 1869. The fight lasted about an hour and a half, and had 14 rounds. Toward the end, both fighters were clearly exhausted, and mostly wrestling. After the final fall, Fitzsimmons did not get up, so after twenty minutes, his seconds had him carried to his father's house in a cab. At the inquest, the surgeon said there were no external indications of serious injury, but upon autopsy, he found a ruptured blood vessel on the left side of the brain and an effusion of blood on the right. The jury ruled guilty.; ;Pro;Brain injury;Ring;Blows: Manslaughter;;
Grogan;11-Jan;1869;KO;;Bartholomew Gill;; ;gill;Peckham;London;England;ND;"(London) Pall Mall Gazette, January 13, 1869; Manchester (England) Times, January 16, 1869. The pair were having a ""pugilistic encounter"" with gloves at a beer-house. There was a large audience. After about half an hour of sparring, Gill was knocked out by a blow under the ear. He was carried to a room in the beer-house, and he died there the following day."; ;Pro;Brain injury;Ring; ;;
T. Price;Apr/;1869;KO; ;James Jones; ; ;jones;Wrexham;Clwyd (Wrexham);Wales;ND;Liverpool (England) Mercury, April 17, 1869. The men were having a match at the Swan Inn, in Wrexham. Jones died in the ring.; ;Pro; ;Ring; ;;
Donnelly;13-Jun;1869;KO;9;Jimmy McGuire; ;;mcguire;Ogden's Lock (near Syracuse);New York;USA;ND;"New York Herald, June 17, 1869; Chicago Daily Tribune, June 19, 1869. The two men arranged to fight near Farmerville, New York, but the town constable said no. A local gambler came up with a different venue, and set a prize of ten dollars, a sum that would be aboutt $160 today. Although McGuire weighed about thirty pounds less than Donnelly, Donnelly was the one being thrashed during the first eight rounds. Donnelly tried to quit, but the gambler, Art Wood, took out a revolver and told him to box on. So, he did. Donnelly caught McGraw by the collar, and kneed him. Then he hit him on the neck as hard as he could. According to the newspaper story, ""McGuire dropped to the ground like a bar of lead, gasping twice, and died."" McGuire was dead within minutes, apparently from a ruptured artery in the head. Donnelly then left town."; ;Pro;Brain injury;Ring;; ;
ND;3-Jul;1869;ND;;Michael Ryan;;;ryan;Nashville;Tennessee;USA;ND;US Army, A Report of Surgical Cases Treated in the Army of the United States from 1865 to 1871 (Washington, DC: US Government Printing Office, 1871), 107. Ryan was a private in Company C, 45th US Infantry. He and another soldier were boxing. Ryan was struck, but not especially hard, in the abdomen. Ryan stopped boxing, walked away, and then collapsed. Within ten minutes, the surgeon was on hand, but death occurred less than five minutes after that. Autopsy revealed a ruptured spleen.; ;Pro;Internal injuries;Ring;Blows: Misadventure; ;
Patrick Malone;10-Oct;1871;KO;;Tom Connor;21;;connor;New York;New York;USA;ND;"Hartford (Connecticut) COurant, October 14, 1871; Elyria (Ohio) Independent Democrat, October 25, 1871. Both men were hod carriers. They had a dispute, and they decided to settle it with a prize fight. During the fight, they grappled (which was fair, under London Prize Ring Rules), and Connor was thrown. Connor reported that his neck hurt, so the fight was stopped. It turned out his neck was broken, and he died soon thereafter."; ;Pro;Neck fracture;Soon after;; ;
William Yeardley;22-Oct;1871;KO; ;Richard Petty Gill; ;;gill;Doncaster;South Yorkshire;England;ND;"Leeds (England) Mercury, December 6, 1871. The two men met at a public house. According to the court testimony, there was no prize or quarrel. The two men simply decided to box with gloves: ""Dick, I will have a round with thee."" ""Agreed on."" They went out, fought fifteen rounds, and then, when they were done, shook hands. Next day, Gill took ill, and the day after he went into a coma. He died four days later. Cause of death was a clot on the brain. Yeardley was convicted of manslaughter, and sentenced to three months. "; ;Pro;Brain injury;Soon after;Blows: Manslaughter;;
George Robinson;2-Mar;1872;KO;13;Robert Taylor;21;;taylor;Sandhurst;Victoria;Australia;ND;"Melbourne (Australia) Argus, March 5, 1872; (Hoktika, New Zealand) West Coast Times, March 14, 1872; Melbourne (Australia) Argus, March 14, 1872; Brisbane (Australia) Courier, March 19, 1872; Nelson (New Zealand) Examiner and New Zealand Chronicle, March 20, 1872; Auckland (New Zealand) Daily Southern Cross, March 20, 1872. The two men decided to find out which was the better boxer by means of a Sunday prize fight. The venue was the butts, at Back Creek. About a hundred people watched.Taylor was knocked down, and did not get up. He was carried to a hotel, where he died. Manslaughter was charged. At the inquest, the survivors insisted money had not been at stake, but both men had ring names."; ;Pro; ;Ring;Exertion;;
John Connor;15-Mar;1872;KO;;Thomas Callis; ;;callis;Long Reach;Cambridgeshire;England;ND;"London Times, March 25, 1872; London Times, March 27, 1872; (Glasgow) Scotsman, March 28, 1872; Dennis Brailsford, Bareknuckles: A Social History of the Prize Ring (Cambridge: Lutterworth Press, 1988), 158. March 14, 1872, the police stopped a fight between the men. So, the next day, the pair had another fight. Again, the police interfered, and again, the fight was stopped. However, this time, as Callis left the roped area, he staggered and fell. He was taken to the nearby Dartford Workhouse, where he died the following day (March 16, 1872). Cause of death was attributed to bleeding in the brain. Connor was convicted of manslaughter, and sentenced to a month's imprisonment and court costs. On the other hand, the seconds were acquitted."; ;Pro;Brain injury;Soon after;Blows: Manslaughter; ;
Howard Price;Sep/;1872;KO;;Cornelius Driscoll;24;;driscoll;Philadelphia;Pennsylvania;USA;ND;New York Times, September 23, 1872. The two men had a prize-fight. It resulted in a draw, so the two men fought a second match later the same day. Driscoll was knocked out, and died a few days later.; ;Pro; ;Ring; ;;
Seton Williams;21-Dec;1872;KO; ;Thomas Lyndsay Field;18; ;field;Westbury;Tasmania;Australia;ND;"(Launceton, Tasmania) Cornwall Chronicle, December 30, 1872); Hobart (Tasmania) Mercury, January 13, 1873. The young men aged 18 and 21, reportedly had a grudge. Their fight took place at the cricket grounds, and lasted at least an hour. There were at least thirty witnesses, and the stated purpose of the referee was ""to chop anyone who interfered over the eyes."" There were several falls, on hard ground, and it was not known if Field struck his head when he fell. At the inquesti, the surgeon said death was caused by apoplexy and concussion, brought on by exhaustion. The defense counsel quoted from Tom Brown's School Days, a book in which the author, a Christian gentleman, had spoken approvingly of boxing matches as a way of resolving disputes between schoolboys. After lengthy deliberation, the jury ruled acquittal."; ;Pro;Brain injury;Ring;Misadventure;;
Albert Widders;6-Nov;1873;KO; ;Edward Kealy; ; ;kealy;Paterson;New South Wales;Australia;ND;"Melbourne (Australia) Argus, November 13, 1873; Sydney (Australia) Morning Herald, November 13, 1873. The two men were drinking at the Plough Inn. They argued about which was stronger, and decided to answer the question with a prize fight. Widders was charged with manslaughter. "; ;Pro; ;Ring;Blows: Manslaughter;;
Charles Miller (Young Mullins);7 Nov;1873;KO;;James Lynch (Young Lynch);;;lynch;Portsmouth;Hampshire;England;Middle;"(Portsmouth, England) Hampshire Telegraph and Sussex Chronicle, November 12, 1873; (Portsmouth, England) Hampshire Telegraph and Sussex Chronicle, November 15, 1873; (Portsmouth, England) Hampshire Telegraph and Sussex Chronicle, November 19, 1873; (Portsmouth, England) Hampshire Telegraph and Sussex Chronicle, November 22, 1873; (Portsmouth, England) Hampshire Telegraph and Sussex Chronicle, December 13, 1873. The match took place in rooms at a hotel in Portsmouth. About 200 persons were present. Captain Sir George Malcolm Fox, 100th Regiment, a future head of British Army gymnastics, was timekeeper. There was no referee. Gloves were worn. Rounds were 3 minutes in length. The bout, which was termed an ?assault at arms? rather than a prizefight, lasted about 45 minutes, including the minute-long pauses between rounds. During the final round, Lynch was knocked into the chairs. Lynch stood up, and continued to fight until the end of the round, but could not leave his corner to start the next round. The fight was ended. Lynch did not recover, so he was taken to another room, and laid on a table. Meanwhile, a surgeon was called. The surgeon arrived in about twenty minutes. After the surgeon arrived, a cab was called, and Lynch was taken to the hospital, where he died. Cause of death was attributed to extravasation of blood on the brain. At the inquest, the solicitor said the match was legal, gloves were worn, and the violence was ordinary.The coroner's jury could not reach a unanimous verdict, so the defendants were released."; ;Pro;Brain injury;Ring;Fall: Misadventure;;
Jim Rogers (California Pet);19-Nov;1873;KO;36;Jack Lewis;; ;lewis;Ottawa;Illinois;USA;ND;"Macon (Georgia) Weekly Telegraph, November 25, 1873; United States Central Publishing Co., Important Events of the Century, Philadelphia: United States Central Publishing Co, 1874, 186. At the start of the 37th round, Lewis failed to leave his corner, and ""speedily thereafter went to eternity."" Cause of death was concussion of the brain."; ;Pro;Brain injury;Ring;;;
